time_s,cx,cy,cz,theta,FB,FB_group,LR,height,spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone
14.18,0.0,0.9999999179898509,1.2616946033893956e-08,1.5707963267948966,0.9999999179898509,0.9999999242983239,0.0,2.5233892067787916e-08,0.000404994187064172,0.0,0.9999999179898509,1.2616946033893956e-08,0.9999999179841403,-4.496319983005037e-09,front_center_mid
14.19,0.0,0.9999999179318996,1.2625861596956082e-08,1.5707963267948966,0.9999999179318996,0.9999999242448304,0.0,2.5251723193912167e-08,0.00040513725312027725,0.0,0.9999999179318996,1.2625861596956082e-08,0.9999999179367699,-4.52834436615035e-09,front_center_mid
14.200000000000001,0.0,0.999999917879,1.2633999993749594e-08,1.5707963267948966,0.999999917879,0.999999924196,0.0,2.526799998749919e-08,0.0004052678040694426,0.0,0.999999917879,1.2633999993749594e-08,0.9999999178935735,-3.6999736607867817e-09,front_center_mid
14.21,0.0,0.9999999178412459,1.2639808336009617e-08,1.5707963267948966,0.9999999178412459,0.99999992416115,0.0,2.5279616672019237e-08,0.0004053609520640825,0.0,0.9999999178412459,1.2639808336009617e-08,0.9999999178627704,-2.1668999927726418e-09,front_center_mid
14.22,0.0,0.9999999178258707,1.2642173725116733e-08,1.5707963267948966,0.9999999178258707,0.9999999241469577,0.0,2.528434745023347e-08,0.0004053988795175752,0.0,0.9999999178258707,1.2642173725116733e-08,0.9999999178502355,-2.204902926905561e-10,front_center_mid
14.23,0.0,0.999999917835836,1.2640640607289188e-08,1.5707963267948966,0.999999917835836,0.9999999241561565,0.0,2.528128121457838e-08,0.0004053742973894914,0.0,0.999999917835836,1.2640640607289188e-08,0.9999999178583606,1.767952451103838e-09,front_center_mid
14.24,0.0,0.9999999178692248,1.263550389780425e-08,1.5707963267948966,0.9999999178692248,0.9999999241869766,0.0,2.5271007795608502e-08,0.0004052919241316499,0.0,0.9999999178692248,1.263550389780425e-08,0.9999999178855945,3.419120542247356e-09,front_center_mid
14.25,0.0,0.9999999179196255,1.2627749915742938e-08,1.5707963267948966,0.9999999179196255,0.9999999242335006,0.0,2.525549983148588e-08,0.00040516754806870983,0.0,0.9999999179196255,1.2627749915742938e-08,0.999999917926743,4.4188874781525556e-09,front_center_mid
14.26,0.0,0.9999999179774152,1.2618859203040142e-08,1.5707963267948966,0.9999999179774152,0.9999999242868448,0.0,2.5237718406080287e-08,0.00040502489152221475,0.0,0.9999999179774152,1.2618859203040142e-08,0.9999999179739723,4.57853199797853e-09,front_center_mid
14.27,0.0,0.9999999180316139,1.2610520931583055e-08,1.5707963267948966,0.9999999180316139,0.9999999243368746,0.0,2.5221041863166114e-08,0.00040489105353506906,0.0,0.9999999180316139,1.2610520931583055e-08,0.9999999180183137,3.86994325474177e-09,front_center_mid
14.280000000000001,0.0,0.9999999180719819,1.2604310498604688e-08,1.5707963267948966,0.9999999180719819,0.999999924374137,0.0,2.520862099720938e-08,0.000404791340829806,0.0,0.9999999180719819,1.2604310498604688e-08,0.9999999180513711,2.4292068356857044e-09,front_center_mid
14.290000000000001,0.0,0.9999999180909311,1.2601395201263416e-08,1.5707963267948966,0.9999999180909311,0.9999999243916288,0.0,2.5202790402526835e-08,0.0004047445252854369,0.0,0.9999999180909311,1.2601395201263416e-08,0.9999999180668978,5.296540983579234e-10,front_center_mid
14.3,0.0,0.999999918084913,1.2602321115411666e-08,1.5707963267948966,0.999999918084913,0.9999999243860733,0.0,2.5204642230823335e-08,0.0004047593947414336,0.0,0.999999918084913,1.2602321115411666e-08,0.9999999180619642,-1.4697965067256291e-09,front_center_mid
14.31,0.0,0.9999999180550488,1.2606915604035205e-08,1.5707963267948966,0.9999999180550488,0.9999999243585065,0.0,2.5213831208070413e-08,0.00040483317055121394,0.0,0.9999999180550488,1.2606915604035205e-08,0.9999999180375019,-3.191752417919247e-09,front_center_mid
14.32,0.0,0.9999999180069459,1.261431601115258e-08,1.5707963267948966,0.9999999180069459,0.999999924314104,0.0,2.5228632022305162e-08,0.000404951974020379,0.0,0.9999999180069459,1.261431601115258e-08,0.9999999179981292,-4.310518608718894e-09,front_center_mid
14.33,0.0,0.9999999179496704,1.2623127667817853e-08,1.5707963267948966,0.9999999179496704,0.9999999242612341,0.0,2.524625533563571e-08,0.00040509338773921273,0.0,0.9999999179496704,1.2623127667817853e-08,0.9999999179512915,-4.612987769547772e-09,front_center_mid
14.34,0.0,0.9999999178940677,1.2631681896770799e-08,1.5707963267948966,0.9999999178940677,0.9999999242099087,0.0,2.52633637935416e-08,0.0004052306229261023,0.0,0.9999999178940677,1.2631681896770799e-08,0.9999999179058694,-4.039546475098632e-09,front_center_mid
14.35,0.0,0.9999999178507246,1.2638350072466153e-08,1.5707963267948966,0.9999999178507246,0.9999999241698996,0.0,2.527670014493231e-08,0.000405337568002065,0.0,0.9999999178507246,1.2638350072466153e-08,0.9999999178705006,-2.697242429405833e-09,front_center_mid
14.36,0.0,0.9999999178279383,1.2641855665791514e-08,1.5707963267948966,0.9999999178279383,0.9999999241488661,0.0,2.5283711331583032e-08,0.00040539377985265813,0.0,0.9999999178279383,1.2641855665791514e-08,0.9999999178519245,-8.407496920881385e-10,front_center_mid
14.370000000000001,0.0,0.9999999178301017,1.2641522811896722e-08,1.5707963267948966,0.9999999178301017,0.9999999241508633,0.0,2.5283045623793447e-08,0.00040538844290748734,0.0,0.9999999178301017,1.2641522811896722e-08,0.9999999178536856,1.1762035789786296e-09,front_center_mid
14.38,0.0,0.9999999178567905,1.2637416875881696e-08,1.5707963267948966,0.9999999178567905,0.9999999241754989,0.0,2.5274833751763396e-08,0.0004053226029710789,0.0,0.9999999178567905,1.2637416875881696e-08,0.9999999178754486,2.9688085323442692e-09,front_center_mid
14.39,0.0,0.9999999179028731,1.2630327239818881e-08,1.5707963267948966,0.9999999179028731,0.9999999242180366,0.0,2.5260654479637766e-08,0.00040520889331082315,0.0,0.9999999179028731,1.2630327239818881e-08,0.9999999179130618,4.195421787756004e-09,front_center_mid
14.4,0.0,0.9999999179595397,1.2621609280906989e-08,1.5707963267948966,0.9999999179595397,0.9999999242703445,0.0,2.524321856181398e-08,0.0004050690234538414,0.0,0.9999999179595397,1.2621609280906989e-08,0.999999917959357,4.623784688462251e-09,front_center_mid
14.41,0.0,0.9999999180160036,1.2612922544803196e-08,1.5707963267948966,0.9999999180160036,0.9999999243224649,0.0,2.5225845089606395e-08,0.000404929606477447,0.0,0.9999999180160036,1.2612922544803196e-08,0.9999999180055374,4.174721679461868e-09,front_center_mid
14.42,0.0,0.9999999180615784,1.260591102032158e-08,1.5707963267948966,0.9999999180615784,0.9999999243645339,0.0,2.5211822040643163e-08,0.0004048170406385662,0.0,0.9999999180615784,1.260591102032158e-08,0.9999999180428515,2.935296450345959e-09,front_center_mid
14.43,0.0,0.9999999180876921,1.26018935521015e-08,1.5707963267948966,0.9999999180876921,0.9999999243886387,0.0,2.5203787104203002e-08,0.00040475252847744575,0.0,0.9999999180876921,1.26018935521015e-08,0.9999999180642434,1.1412149003575678e-09,front_center_mid
14.44,0.0,0.9999999180894429,1.2601624185057906e-08,1.5707963267948966,0.9999999180894429,0.999999924390255,0.0,2.5203248370115815e-08,0.000404748202636667,0.0,0.9999999180894429,1.2601624185057906e-08,0.9999999180656758,-8.682166097173649e-10,front_center_mid
