time_s,cx,cy,cz,theta,bed_FB,FB_group,bed_LR,bed_height,bed_spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone,obj_cx,obj_cy,obj_cz,obj_spread
0.33,0.0,-0.7814114075018908,8.113181799145914e-09,-1.5707963267948966,-0.7821744451309064,-0.9022961720193152,0.0,1.624234409900153e-08,0.6230569617906971,0.0,-0.7814114075018908,8.113181799145914e-09,-0.7827681405519754,0.340943656102155,rear_center_mid,0.0,-0.9340016589258874,0.0,0.0
0.34,0.0,-0.7786561596407902,8.090083717138681e-09,-1.5707963267948966,-0.7790880716233155,-0.8991146858333497,0.0,1.618862657767786e-08,0.6269289716590793,0.0,-0.7786561596407902,8.090083717138681e-09,-0.7796623681011161,0.2777480606998006,rear_center_mid,0.0,-0.9320017168344551,0.0,0.0
0.35,0.0,-0.7770051910756108,8.076791337128491e-09,-1.5707963267948966,-0.7767714110656669,-0.8972083115437953,0.0,1.6147315210327466e-08,0.6298013021557911,0.0,-0.7770051910756108,8.076791337128491e-09,-0.7772131793379794,0.2172816877898498,rear_center_mid,0.0,-0.9300017991611902,0.0,0.0
0.36,0.0,-0.775342415055976,8.060996176356447e-09,-1.5707963267948966,-0.7750457698385641,-0.8952883031805076,0.0,1.6114595507412164e-08,0.6319165400442159,0.0,-0.775342415055976,8.060996176356447e-09,-0.7753167343453191,0.1796116889155263,rear_center_mid,0.0,-0.9280017786882898,0.0,0.0
0.37,0.0,-0.773650723415629,8.043063577226762e-09,-1.5707963267948966,-0.7735455671690283,-0.893334905934658,0.0,1.6083395558822995e-08,0.6337437583686768,0.0,-0.773650723415629,8.043063577226762e-09,-0.7736209455596689,0.1708946375332476,rear_center_mid,0.0,-0.9260018511728995,0.0,0.0
0.38,0.0,-0.7719291825385894,8.023882080854799e-09,-1.5707963267948966,-0.7719272301915843,-0.891347041759271,0.0,1.6047802047886997e-08,0.6357109533655646,0.0,-0.7719291825385894,8.023882080854799e-09,-0.7718988415946542,0.1737108367821149,rear_center_mid,0.0,-0.9240019625085464,0.0,0.0
0.39,0.0,-0.770177215712539,8.00451246656762e-09,-1.5707963267948966,-0.7701767333768575,-0.8893240447242015,0.0,1.6009545095852928e-08,0.6378305409910902,0.0,-0.770177215712539,8.00451246656762e-09,-0.7701467288240266,0.1767195803841714,rear_center_mid,0.0,-0.9220019286830113,0.0,0.0
0.4,0.0,-0.7683946712505367,7.985981519217239e-09,-1.5707963267948966,-0.7683943170849944,-0.8872657396763409,0.0,1.597282982414357e-08,0.6399766861702827,0.0,-0.7683946712505367,7.985981519217239e-09,-0.7683644499869707,0.1797275581247481,rear_center_mid,0.0,-0.9200020059515075,0.0,0.0
0.41,0.0,-0.7665818512028382,7.969092084418845e-09,-1.5707963267948966,-0.766581679845941,-0.8851724753931915,0.0,1.593923348557203e-08,0.6421467931419609,0.0,-0.7665818512028382,7.969092084418845e-09,-0.7665521776615316,0.1827053762689656,rear_center_mid,0.0,-0.9180020962226665,0.0,0.0
0.42,0.0,-0.7647393292303502,7.954273932071621e-09,-1.5707963267948966,-0.7647393704317358,-0.8830449142812622,0.0,1.5909586117067655e-08,0.6443397150251403,0.0,-0.7647393292303502,7.954273932071621e-09,-0.7647103424615914,0.1856339245748073,rear_center_mid,0.0,-0.9160020793247022,0.0,0.0
0.43,0.0,-0.7628678209113939,7.941506933468473e-09,-1.5707963267948966,-0.7628680878001133,-0.8808838826192278,0.0,1.5883851136678213e-08,0.6465541420032619,0.0,-0.7628678209113939,7.941506933468473e-09,-0.7628394991700355,0.1885090430998048,rear_center_mid,0.0,-0.9140021815955233,0.0,0.0
0.44,0.0,-0.7609680397128376,7.93032679280383e-09,-1.5707963267948966,-0.760968489878649,-0.8786902042477183,0.0,1.586113411315831e-08,0.6487888310243944,0.0,-0.7609680397128376,7.93032679280383e-09,-0.7609401615995953,0.1913424740829616,rear_center_mid,0.0,-0.9120022332240135,0.0,0.0
0.45,0.0,-0.7590404547927573,7.919909784647875e-09,-1.5707963267948966,-0.7590410088180698,-0.8764644209039095,0.0,1.583984942720737e-08,0.6510428203594757,0.0,-0.7590404547927573,7.919909784647875e-09,-0.7590126496883762,0.1941595781082161,rear_center_mid,0.0,-0.910002218572841,0.0,0.0
0.46,0.0,-0.7570851633506377,7.909224972605368e-09,-1.5707963267948966,-0.7570857166910795,-0.8742066448242157,0.0,1.5818017344652834e-08,0.6533155776996485,0.0,-0.7570851633506377,7.909224972605368e-09,-0.757056970037431,0.1969955962351888,rear_center_mid,0.0,-0.9080023232347124,0.0,0.0
0.47,0.0,-0.7551017696742546,7.897225900608446e-09,-1.5707963267948966,-0.7551022183618867,-0.871916419079637,0.0,1.579363598106761e-08,0.6556071110450739,0.0,-0.7551017696742546,7.897225900608446e-09,-0.7550727377636725,0.199889918083973,rear_center_mid,0.0,-0.9060023793820524,0.0,0.0
0.48,0.0,-0.7530894226566676,7.883051935864045e-09,-1.5707963267948966,-0.753089656243386,-0.8695927608966286,0.0,1.5765061790954597e-08,0.6579179477786797,0.0,-0.7530894226566676,7.883051935864045e-09,-0.7530591716757515,0.2028772409027324,rear_center_mid,0.0,-0.9040024090963044,0.0,0.0
0.49,0.0,-0.7510468783440452,7.866193937674836e-09,-1.5707963267948966,-0.7510468243407121,-0.8672342338810892,0.0,1.5731323762394474e-08,0.6602489893172679,0.0,-0.7510468783440452,7.866193937674836e-09,-0.7510151929456178,0.2059797918751382,rear_center_mid,0.0,-0.9020024442917122,0.0,0.0
0.5,0.0,-0.7489726243531523,7.846591767652548e-09,-1.5707963267948966,-0.7489723223412492,-0.8648390916832899,0.0,1.5692307451435114e-08,0.6626013244088197,0.0,-0.7489726243531523,7.846591767652548e-09,-0.7489395758382488,0.20920423055239,rear_center_mid,0.0,-0.9000025172727962,0.0,0.0
0.51,0.0,-0.7468652696999696,7.824646894955843e-09,-1.5707963267948966,-0.7468647784522455,-0.862405728133189,0.0,1.5648773056834495e-08,0.6649759719158141,0.0,-0.7468652696999696,7.824646894955843e-09,-0.74683110833457,0.2125392670220105,rear_center_mid,0.0,-0.898002607665511,0.0,0.0
0.52,0.0,-0.7447236841374094,7.801137255411837e-09,-1.5707963267948966,-0.744723060473462,-0.859932838133778,0.0,1.56022018960821e-08,0.6673736458941967,0.0,-0.7447236841374094,7.801137255411837e-09,-0.7446887904978086,0.2159558846994203,rear_center_mid,0.0,-0.896002584288265,0.0,0.0
