time_s,x_lr,y_fb,z_height,gain_db,spread,width,height,depth,velocity_x,velocity_y,velocity_z,speed,accel,object_id,object_name,track_index
8.17,0.0,0.6339585251108717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108716497,0.0,0.19993252108716497,-1.1102230246251565e-12,AO_100b,Object 11,
8.18,0.0,0.6359596002877108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010751768391177,0.0,0.20010751768391177,0.017499659674680146,AO_100b,Object 11,
8.19,0.0,0.6379591749578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199957467011469,0.0,0.199957467011469,-0.01500506724427808,AO_100b,Object 11,
8.2,0.0,0.6399585002436737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252858482302,0.0,0.19993252858482302,-0.002493842664597068,AO_100b,Object 11,
8.21,0.0,0.6419592002500941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20007000064203861,0.0,0.20007000064203861,0.013747205721559297,AO_100b,Object 11,
8.22,0.0,0.6439591500156515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999949765557396,0.0,0.1999949765557396,-0.007502408629900259,AO_100b,Object 11,
8.23,0.0,0.6459584752827555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252671040018,0.0,0.19993252671040018,-0.006244984533942954,AO_100b,Object 11,
8.24,0.0,0.6479588002000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000324917244667,0.0,0.2000324917244667,0.009996501406650538,AO_100b,Object 11,
8.25,0.0,0.6499591251172446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003249172444448,0.0,0.20003249172444448,-2.220446049250313e-12,AO_100b,Object 11,
8.26,0.0,0.6519584503843486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252671040018,0.0,0.19993252671040018,-0.009996501404430091,AO_100b,Object 11,
8.27,0.0,0.6539584001499062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999497655576182,0.0,0.19999497655576182,0.0062449845361634004,AO_100b,Object 11,
8.28,0.0,0.6559591001563262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000700006419942,0.0,0.2000700006419942,0.007502408623238921,AO_100b,Object 11,
8.290000000000001,0.0,0.6579584254421745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252858483412,0.0,0.19993252858483412,-0.013747205716008182,AO_100b,Object 11,
8.3,0.0,0.6599580000998125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995746576380036,0.0,0.19995746576380036,0.0024937178966233375,AO_100b,Object 11,
8.31,0.0,0.6619590751954079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010750955953283,0.0,0.20010750955953283,0.015004379573246851,AO_100b,Object 11,
8.32,0.0,0.6639584005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993253045921255,0.0,0.19993253045921255,-0.017497910032027164,AO_100b,Object 11,
8.33,0.0,0.6659577257108718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108717607,0.0,0.19993252108717607,-9.372036480215229e-07,AO_100b,Object 11,
8.34,0.0,0.6679588008877112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010751768394508,0.0,0.20010751768394508,0.017499659676900592,AO_100b,Object 11,
8.35,0.0,0.6699583755578257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999574670114468,0.0,0.1999574670114468,-0.015005067249829196,AO_100b,Object 11,
8.36,0.0,0.6719577007686972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108715387,0.0,0.19993252108715387,-0.002494592429291842,AO_100b,Object 11,
8.370000000000001,0.0,0.6739584008188558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20007000501586214,0.0,0.20007000501586214,0.013748392870827075,AO_100b,Object 11,
8.38,0.0,0.6759583506156515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999497967956303,0.0,0.19999497967956303,-0.007502533629910602,AO_100b,Object 11,
8.39,0.0,0.6779576758827555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252671040018,0.0,0.19993252671040018,-0.00624529691628517,AO_100b,Object 11,
8.4,0.0,0.6799580008000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000324917244778,0.0,0.2000324917244778,0.00999650140776076,AO_100b,Object 11,
8.41,0.0,0.6819583256734771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003248734768997,0.0,0.20003248734768997,-4.3767878210587696e-07,AO_100b,Object 11,
8.42,0.0,0.6839576509218369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252483597734,0.0,0.19993252483597734,-0.009996251171262571,AO_100b,Object 11,
8.43,0.0,0.6859576007499062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999498280692807,0.0,0.19999498280692807,0.006245797095072447,AO_100b,Object 11,
8.44,0.0,0.6879583007563261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000700006419942,0.0,0.2000700006419942,0.0075017835066137906,AO_100b,Object 11,
8.45,0.0,0.6899576260421741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252858480082,0.0,0.19993252858480082,-0.01374720571933885,AO_100b,Object 11,
8.46,0.0,0.6919572006998126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995746576384477,0.0,0.19995746576384477,0.0024937179043948987,AO_100b,Object 11,
8.47,0.0,0.6939582757954079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010750955953283,0.0,0.20010750955953283,0.015004379568805959,AO_100b,Object 11,
8.48,0.0,0.6959576011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993253045921255,0.0,0.19993253045921255,-0.017497910032027164,AO_100b,Object 11,
8.49,0.0,0.6979569263108717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108716497,0.0,0.19993252108716497,-9.372047582445475e-07,AO_100b,Object 11,
8.5,0.0,0.6999580014001877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010750893160179,0.0,0.20010750893160179,0.01749878444368136,AO_100b,Object 11,
8.51,0.0,0.7019575761390814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995747388936724,0.0,0.19995747388936724,-0.0150035042234542,AO_100b,Object 11,
8.52,0.0,0.7039569013686973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999325229615878,0.0,0.1999325229615878,-0.002495092777943242,AO_100b,Object 11,
8.53,0.0,0.7059576014188556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20007000501582883,0.0,0.20007000501582883,0.013748205424102267,AO_100b,Object 11,
8.540000000000001,0.0,0.7079575512156515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999497967959634,0.0,0.19999497967959634,-0.007502533623249263,AO_100b,Object 11,
8.55,0.0,0.709956876426523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108715387,0.0,0.19993252108715387,-0.006245859244247143,AO_100b,Object 11,
8.56,0.0,0.7119572013500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000324923477126,0.0,0.2000324923477126,0.009997126055871774,AO_100b,Object 11,
8.57,0.0,0.7139575262734771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003249234769038,0.0,0.20003249234769038,-2.220446049250313e-12,AO_100b,Object 11,
8.58,0.0,0.7159568515218369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252483597734,0.0,0.19993252483597734,-0.009996751171303941,AO_100b,Object 11,
8.59,0.0,0.7179568013499062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999498280693917,0.0,0.19999498280693917,0.00624579709618267,AO_100b,Object 11,
8.6,0.0,0.7199575013313028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20006999813965143,0.0,0.20006999813965143,0.007501533271225824,AO_100b,Object 11,
8.61,0.0,0.7219568265609183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999325229615545,0.0,0.1999325229615545,-0.013747517809692411,AO_100b,Object 11,
8.620000000000001,0.0,0.7239564012998125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995747388942275,0.0,0.19995747388942275,0.002495092786825026,AO_100b,Object 11,
8.63,0.0,0.7259574763954079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010750955953283,0.0,0.20010750955953283,0.015003567011007135,AO_100b,Object 11,
8.64,0.0,0.7279568017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993253045921255,0.0,0.19993253045921255,-0.017497910032027164,AO_100b,Object 11,
8.65,0.0,0.7299561269108717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252108717607,0.0,0.19993252108717607,-9.372036480215229e-07,AO_100b,Object 11,
8.66,0.0,0.7319572020001878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010750893160179,0.0,0.20010750893160179,0.017498784442571136,AO_100b,Object 11,
8.67,0.0,0.7339567767390814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995747388936724,0.0,0.19995747388936724,-0.0150035042234542,AO_100b,Object 11,
8.68,0.0,0.7359561019686972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999325229615767,0.0,0.1999325229615767,-0.002495092779053465,AO_100b,Object 11,
8.69,0.0,0.7379568019500937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20006999813965143,0.0,0.20006999813965143,0.013747517807471965,AO_100b,Object 11,
8.700000000000001,0.0,0.7399567517781632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999498280695027,0.0,0.19999498280695027,-0.007501533270115601,AO_100b,Object 11,
8.71,0.0,0.7419560770265231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993252483598845,0.0,0.19993252483598845,-0.00624579709618267,AO_100b,Object 11,
8.72,0.0,0.7439564019500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000324923477126,0.0,0.2000324923477126,0.009996751172414164,AO_100b,Object 11,
